Question,Target_response_bella,Bella_w4,Target_response_mia,Mia_w3,Target_response_mike,Mike_w1,Target_response_olivia,Olivia_w2
- Скільки вам років?,25,Мені 25 років.,25,Мені 25 років .,32,Мені 32 роки. Як щодо вас?,42,Мені 42 роки.
- В якому місті ви народились?,місто Львів,Я народилася в місті Сокаль.,Львів,Я народилася у Львові.,місті Долина Івано-Франківської області.,Я народився у місті Дрогобич. А ви де народилися?,Вільногірськ,"Я народилась у Вільногірську, Україна."
– Де ви виросли?,місто Сокаль,Я виросла в місті Сокаль.,Сокаль,Я виросла в місті Сокаль .,"Загалом я виріс у місті Долина Івано-Франківської області на квартирі. В дитинстві, особливо влітку, я часто їздив в гості до бабусі та дідуся як з маминої, так і з татаової сторони. Вони проживали в селі. Мамині батьки - у селі Станківці Долинського району, а татові - у селі Нижня Луковиця Стрийського району.З маминої сторони моя бабуся з дідом завжди забороняли мені все: не міг я піти на річку чи в клуб на дискотеку. Навпаки, з тата батьки бабусі з дідом підтримували і дозволяли мені ходити на річку та на дискотеку. Тому я завжди любив відвідувати татаових батьків, де мені дозволяли робити те, що хотів.",Я виріс у Дрогобичі. А де саме виросли ви?,"м. Вільногірськ, с. Адамівка","Я виросла у Вільногірську, Україна."
- У якому місті ви мешкаєте?,місто Львів,Я мешкаю у місті Львів.,Львів,Я проживаю у місті Львів.,Львів,Я зараз живу у місті Львів. А ви де проживаєте?,Вільногірськ,"Я зараз мешкаю у Вільногірську, Україна."
- Скільки у вас братів та сестер? Як їх звати?,"У мене є сестра близнючка, її звати Соломія","У мене є двійнята сестра, її звуть Мія .","Одна сестра, звати Анастасія",У мене є одна сестра на ім'я Белла. Ми близнючки.,В мене одна старша сестра. Звати її Марія я відношусь до неї з повагою. ,"У мене немає братів чи сестер, я єдиний дитина у сім'ї. А в вашій родині як?","одна сестра рідна Світлана, та 5 двоюрідних сестер та 1 двоюрідний брат",Я не знаю точної інформації про своїх братів і сестер.
- Обидва ваші батьки живі та живуть разом (не розлучені)?,Так,"Так, обоє моїх батьків живі та живуть разом .",Так,"Так, мої батьки живі і живуть разом, вони не розлучені.",Так,"Так, обидва мої батьки живі і вони не розлучені. А як у вас?",Так,Про моїх батьків інформації немає.
- Де ви живете,"Сама, в окремому житлі","Я живу сама, в окремій квартирі у Львові  .","Сама, в окремому житлі",Я живу у Львові.,"Сама, в окремому житлі",Я зараз живу у місті Львів.,Разом із батьками,"Я зараз мешкаю у Вільногірську, Україна."
- Які мови ви знаєте?,"Українська, російська, вивчаю англійську мову","Я знаю українську, російську і вивчаю англійську .","Українська, Польську, вивчаю Англійську","Я знаю українську мову, польську і вивчаю англійську .",вивчаю англійську в дуолінго протягом року,Я знаю українську та японську мови. Також розмовляю англійською. А які мови ви знаєте?,"Російська, Японська, Англійська","Я знаю українську, японську та англійську мови."
- Яким є ваш сімейний статус?,незаміжня,Я неодружена.,незаміжня,Мій сімейний статус — я неодружена.,незаміжня,"Я не одружений. А ви, у вас є сім'я?",незаміжня,Я не впевнена щодо свого сімейного статусу.
"Який вищий навчальний заклад ви відвідували чи відвідуєте? (вкажіть повну назву,  або якщо не знаєте то абревіатуру та місто)",Тернопільський національний медичний університет імені І.Я. Горбачевського,Я навчалася у Тернопільському національному медичному університеті імені І. Я. Горбачевського .,Тернопільський національний медичний університет імені І.Я.Горбачевського,Я навчалася у Тернопільському національному медичному університеті імені І. Я. Горбачевського.,Навчально-науковий юридичний інститут Прикарпатського національного університету імені Василя Стефаника,Я закінчив Львівський Національний Університет імені Івана Франка. А де ви навчалися?,"Харківський Інститут Управління, м. Харків","Харківський Інститут Управління, м. Харків"
